Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ihe.pharm.meow.json	20446	-	0	0	0	0	0	0	10	79	0	0	0	0	0	0	0	0	0	0	63	84	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-MedicationOverviewConsumer.json	4093	5	0	0	1	0	1	0	1	19	0	0	0	0	0	0	0	0	0	0	22	39	0	0	0	1	0	1
fsh-generated/resources/CapabilityStatement-MedicationOverviewResponder.json	5806	3	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	34	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ihe-cs-clinicalintenttype.json	909	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	8	67	0	0	0	0	0	0
fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json	1409	4	0	0	1	0	0	0	0	2213	0	0	0	0	0	0	0	0	0	0	8	16	0	0	1	0	0	0
fsh-generated/resources/Medication-01B-Cefuroxime1500GenericConcept.json	425	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json	2280	2	0	0	0	0	0	0	1	283	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json	1652	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json	1423	2	0	0	0	0	0	0	1	243	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json	1156	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json	4362	6	0	0	0	0	0	0	1	254	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-DosagingInformation.json	18303	13	0	37	0	0	0	0	0	86	0	0	0	0	0	0	0	1	0	0	258	1128	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-IHEMedication.json	5508	5	0	46	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	130	279	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-MedicationOverview.json	5782	6	0	223	0	0	0	0	0	62	0	0	1	0	0	0	0	2	0	0	601	798	0	0	0	36	0	2
fsh-generated/resources/StructureDefinition-MedicationOverviewComposition.json	3086	3	0	41	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	309	258	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-MedicationOverviewLM.json	5418	4	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	82	74	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-MedicationTreatment.json	2947	3	0	14	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	161	193	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-MedicationTreatmentLM.json	2659	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	42	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-MedicationTreatmentLine.json	6295	6	0	24	0	0	0	0	0	30	0	0	1	0	0	0	0	1	0	0	194	202	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-MedicationTreatmentLineLM.json	20075	11	0	23	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	180	113	0	0	0	12	1	0
fsh-generated/resources/StructureDefinition-MedicinalProductLM.json	13007	7	0	24	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	142	111	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-PatientLM.json	2850	2	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	38	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PractitionerLM.json	4973	3	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	57	55	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ihe-ext-medication-classification.json	1733	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	43	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-device.json	3074	3	0	7	0	0	0	0	0	17	0	0	0	0	0	0	1	1	0	0	59	98	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-productname.json	4171	4	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	77	88	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-sizeofitem.json	1665	1	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	38	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medicationstatement-clinicalintenttype.json	1942	2	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	40	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medicationstatement-offlabel.json	3837	3	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	62	62	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ihe-ext-medicationstatement-recorder.json	2248	2	0	3	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	39	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medicationstatement-substitution.json	2956	3	0	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	59	58	0	1	0	2	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medicationstatement-verificationinformation.json	3305	3	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	60	62	0	0	0	3	0	0
fsh-generated/resources/ValueSet-ihe-vs-clinicalintenttype.json	544	1	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	5	65	0	0	0	1	0	0
/fsh-generated/includes/fsh-link-references.md	2424	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
