Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ihe.pharm.meow.json	16395	-	0	0	0	0	0	0	14	67	0	0	0	0	0	0	0	1	0	0	101	102	0	0	0	4	0	1
fsh-generated/resources/CapabilityStatement-MedicationOverviewConsumer.json	4097	6	0	0	2	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	28	43	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-MedicationOverviewResponder.json	5814	3	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	37	33	0	0	0	2	0	0
fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json	1370	4	0	0	0	0	0	0	0	2593	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/Medication-01B-Cefuroxime1500GenericConcept.json	425	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json	2298	4	0	0	0	0	0	0	1	291	0	0	0	0	0	0	0	0	0	0	11	10	0	0	1	0	0	0
fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json	1596	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0
fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json	1457	3	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json	1190	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json	4291	4	0	0	0	0	0	0	1	287	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-DosagingInformation.json	18303	9	0	74	0	0	0	0	0	104	0	0	1	0	0	0	0	2	0	0	235	1278	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-IHEMedication.json	5545	5	0	45	0	0	0	0	0	29	0	0	1	0	0	0	0	0	0	0	128	276	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-MedicationOverview.json	5782	6	0	238	0	0	0	0	0	77	0	0	0	0	0	0	0	2	0	0	580	750	0	0	0	22	1	1
fsh-generated/resources/StructureDefinition-MedicationOverviewComposition.json	3086	4	0	45	0	0	0	0	1	35	0	0	0	0	0	0	0	2	0	0	260	380	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-MedicationOverviewLM.json	5274	3	0	18	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	70	111	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-MedicationTreatment.json	2947	4	0	27	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	233	297	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-MedicationTreatmentLM.json	2659	3	0	8	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	37	140	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MedicationTreatmentLine.json	5573	4	0	31	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	213	447	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-MedicationTreatmentLineLM.json	20646	10	0	37	1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	222	242	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-MedicinalProductLM.json	13007	7	0	35	0	0	0	0	0	30	0	0	0	0	1	0	0	1	0	0	143	238	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-PatientLM.json	2850	3	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	28	103	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-PractitionerLM.json	4973	4	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	58	152	0	0	0	2	0	0
