Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ihe.pharm.meow.json	16262	-	0	0	0	0	0	0	18	77	0	0	0	0	1	0	0	1	0	0	100	109	0	0	0	5	0	1
fsh-generated/resources/CapabilityStatement-MedicationOverviewConsumer.json	4100	5	0	0	2	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	25	36	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-MedicationOverviewResponder.json	5819	2	0	0	1	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	34	25	0	0	0	1	0	0
fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json	1372	2	0	0	0	0	0	0	0	9065	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/Medication-01B-Cefuroxime1500GenericConcept.json	426	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json	2301	1	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json	1599	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0
fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json	1459	1	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json	1191	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json	4295	3	0	0	0	0	0	0	1	258	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-DosagingInformation.json	18305	9	0	74	0	0	0	0	0	103	0	0	1	0	0	0	0	2	0	0	224	1288	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-IHEMedication.json	5551	3	0	53	0	0	0	0	1	28	0	0	0	0	0	0	0	1	0	0	126	244	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-MedicationOverview.json	5285	2	0	179	0	0	0	0	0	60	0	0	1	0	0	0	0	5	0	0	522	691	0	0	0	23	1	1
fsh-generated/resources/StructureDefinition-MedicationOverviewComposition.json	3089	2	0	33	0	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	263	291	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-MedicationOverviewLM.json	5280	2	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	60	93	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-MedicationTreatment.json	2948	1	0	17	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	176	246	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-MedicationTreatmentLM.json	2661	2	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MedicationTreatmentLine.json	5576	2	0	17	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	189	317	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-MedicationTreatmentLineLM.json	20854	4	0	25	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	190	149	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-MedicinalProductLM.json	13009	3	0	21	1	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	145	137	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-PatientLM.json	2852	1	0	6	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	27	59	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-PractitionerLM.json	4975	2	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	58	77	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-ihe-ext-medication-classification.json	1574	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-device.json	2911	2	0	5	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	61	85	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-productname.json	4015	1	0	7	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	80	100	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-sizeofitem.json	1509	2	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	26	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medicationstatement-substitution.json	2797	2	0	6	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	61	74	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-ihe-ext-medicationstatement-verificationinformation.json	3146	3	0	5	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	63	76	0	0	0	3	0	0
/fsh-generated/includes/menu.xml	2916	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2052	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/profile.yml	60	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/publication.yml	236	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/security_considerations.md	1666	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/changes.xml	469	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0
/input/pagecontent/PHARM-12.md	12275	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/medication_concepts.md	2145	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/PHARM-y.md	484	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/usecases.md	1612	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/aggregation_and_medication_reconcilliation.md	1011	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/volume2.md	512	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/medication_treatment_lifecycle.md	763	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/PHARM-x.md	496	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.xml	1334	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
/input/pagecontent/transactions.md	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/testplan.md	1037	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/actor_required_grouping.md	1388	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/actor_options.md	530	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/data_models.md	565	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/issues.md	233	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	3393	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
/input/pagecontent/PHARM-O1.md	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/volume1.md	1951	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/cross_profile_considerations.md	1583	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/actors-transactions.md	3989	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
